mult,pT,eta
60,22.544,12.3603
174,91.3681,60.1415
130,68.8811,-13.145
98,49.3238,-7.33346
184,117.417,-39.2826
44,15.0079,30.2474
68,35.8781,41.8255
44,19.5573,16.177
42,13.2664,1.71772
80,29.1273,-15.3528
60,25.0556,-11.402
152,84.1151,91.4877
62,29.2902,-17.7699
174,95.3037,29.4654
44,17.6473,-16.7614
38,12.4127,-51.8156
78,35.2055,-63.1185
62,26.0213,4.19646
90,36.5829,-17.6522
152,79.0143,5.32998
160,102.49,55.3907
70,28.8525,-9.15132
76,24.36,75.8283
148,113.019,-17.7295
160,92.2193,-15.9363
66,29.1172,24.3357
94,44.3008,-4.19398
84,34.3961,-34.6454
140,62.911,28.4552
112,64.556,-71.1307
42,13.056,-57.8556
94,44.3407,-25.2413
38,13.2655,-41.0307
92,39.5453,6.48108
94,51.4022,16.574
202,110.749,-8.80352
32,11.0251,23.6027
42,16.7713,-1.92188
76,41.1291,-113.689
90,41.8749,-66.421
88,36.5094,28.1517
48,20.3723,-17.931
50,19.6982,105.772
148,80.7291,77.2209
52,19.0673,25.9041
52,23.4639,27.374
46,19.0771,20.2491
140,67.9267,40.4416
56,21.7675,-21.9915
50,19.3287,17.7908
224,120.421,101.372
116,49.6942,89.7443
98,45.2025,-96.0071
36,19.1252,31.9978
40,15.7881,88.8104
184,97.106,176.729
128,55.5659,-82.4022
60,24.3552,-84.439
200,106.777,-69.5172
200,109.999,-48.4812
88,55.0873,87.8834
62,23.7409,3.64048
124,63.2362,-0.482137
182,85.6234,-69.3797
84,46.8833,64.1674
38,17.812,-8.89454
166,108.464,149.587
46,20.5739,15.3183
170,94.0007,-38.7771
202,114.879,252.879
36,11.9086,-40.1885
94,49.2971,112.128
124,66.585,-36.1518
176,100.692,69.6427
178,98.6258,-69.5474
64,30.3817,37.8303
116,50.9504,87.2671
44,16.1167,10.3596
100,35.6531,-27.5273
84,42.1244,85.8072
110,46.6078,-62.8735
70,27.1335,16.3783
24,11.1978,18.0553
108,45.7103,28.4231
110,64.3353,93.4345
46,19.7285,21.8245
150,68.9496,57.1677
194,148.611,-148.375
82,35.0726,11.3411
38,12.1987,3.91212
112,56.8554,0.693825
58,30.6267,-0.332686
40,13.6014,-17.1381
162,85.5602,-49.7963
112,70.2529,-0.437116
112,60.5442,30.8603
68,30.7582,-22.8756
42,15.473,47.8091
110,65.4511,66.2156
62,31.3284,5.50607
278,152.796,96.8375
152,79.1367,-21.0886
38,15.75,16.988
88,32.357,144.412
134,63.5143,-80.1148
30,19.0791,5.12286
82,30.9999,14.647
50,22.372,-107.939
70,29.6076,-37.1829
48,23.7134,-41.7395
162,77.9888,114.389
156,85.1712,-42.0181
132,71.9199,16.6598
50,16.4878,0.925771
186,83.5541,-8.99503
36,11.4285,-7.17796
86,41.7454,111.823
152,72.9136,-66.472
32,12.7824,-31.4765
52,19.5809,61.7971
194,100.193,55.7673
58,27.1066,36.2321
112,53.9035,59.2711
122,55.8121,-80.516
82,35.4625,-82.6274
252,118.146,29.8905
44,14.443,75.46
84,33.4235,71.8472
46,20.0801,104.148
32,14.0632,-43.97
50,14.9853,18.6973
166,83.5128,-81.7474
244,149.048,30.2005
42,15.2338,-31.1255
152,68.528,-26.8253
238,135.86,-130.93
58,21.5086,30.0126
66,33.0988,46.1749
40,15.905,-22.4368
56,23.495,12.1017
38,13.3655,-13.7287
34,11.6991,54.0062
48,18.1924,-13.4942
180,112.791,107.637
16,5.4631,5.76177
100,48.7407,-9.04899
82,33.7834,65.2084
70,26.8089,-53.3784
54,45.3666,78.3915
42,15.5412,-77.7516
260,155.617,130.694
102,49.9942,-152.86
42,15.1488,-9.19217
80,31.5949,38.8576
36,12.5022,-7.16726
90,39.9231,-39.6579
184,97.8738,-38.0649
22,7.42187,-42.5824
150,79.2271,-20.935
46,16.3536,-17.3764
32,13.3951,39.4794
62,26.8974,-44.6984
116,47.3776,80.1952
218,154.21,59.0207
72,27.4768,12.4508
162,104.583,47.0385
40,14.2055,-11.5556
196,108.537,-195.127
52,21.9027,7.99443
76,34.8223,-21.2108
232,105.867,-85.6936
154,80.0385,-15.1097
226,120.54,40.781
108,40.8022,134.079
36,12.6097,18.1362
40,13.3277,-2.86261
194,110.908,-10.8231
104,53.0135,-4.61091
88,35.3068,42.0263
60,23.5913,22.3888
28,9.67098,11.9187
84,42.895,-21.2566
34,13.4626,-23.6609
204,88.5277,-8.27785
254,128.339,-101.107
50,15.6658,-22.5864
50,19.0195,32.0817
124,55.6854,-90.8392
216,104.504,-3.83596
50,25.6877,-18.5231
88,33.4651,5.62085
68,29.4234,-26.3948
54,20.2655,-28.5089
44,15.5803,1.63812
86,37.3581,-12.5525
82,34.5036,12.0343
44,19.4167,-36.9268
72,34.6002,6.52965
80,39.8482,83.0885
50,17.9928,-2.56673
48,20.2131,-90.8229
122,58.3825,-84.8237
158,65.5322,79.1324
30,16.0986,-6.27904
128,64.4031,-5.33788
110,53.023,-109.009
58,26.4163,-114.001
24,7.96685,-44.7092
32,10.9352,29.4795
100,59.891,-66.1645
46,17.3499,53.8686
96,39.8862,-33.4155
30,10.5183,23.7141
110,40.394,-105.999
36,16.8823,24.6478
70,27.3009,5.12706
100,38.48,80.5815
52,18.8972,-29.7959
74,29.3035,-6.28379
200,116.202,-190.171
34,15.2642,-45.3806
48,16.6237,44.3051
160,91.2321,41.6192
44,16.4574,39.4305
132,77.6586,-60.1385
88,40.5956,-86.2188
226,121.095,-19.9165
38,12.5023,-6.47542
38,12.1545,-15.5712
162,90.9725,-116.898
76,26.4419,-25.6361
42,14.9894,-66.2224
48,26.4352,-10.4887
80,45.233,-88.7715
128,52.3507,98.0269
112,58.0288,3.66325
82,34.5858,58.5856
120,59.9827,-86.6201
42,17.9966,-4.49061
42,15.3097,19.5928
50,19.0425,-29.4666
54,19.5686,-58.1796
52,18.615,50.383
46,20.2668,-28.3869
224,118.407,187.126
60,19.8178,-24.7241
84,38.6032,-69.1373
62,24.3297,-76.1717
50,24.1153,23.5046
32,12.2817,68.2682
102,41.9654,7.88959
102,47.127,-52.8344
24,9.80114,-12.1912
46,17.6334,-44.5642
38,12.7442,13.206
42,14.4629,47.0139
64,24.5617,37.1709
154,90.1621,102.917
34,11.1519,0.938378
96,35.9651,-74.5798
84,36.3861,40.3528
96,43.8572,27.6531
32,16.132,-29.1944
54,26.6942,0.785856
238,138.106,-24.8338
186,103.051,44.8747
36,13.1883,21.1213
134,65.6162,43.3591
162,83.4273,10.3637
48,14.6786,-24.131
48,16.916,11.4397
62,24.4275,8.89647
98,49.2865,2.68775
74,29.0207,84.3933
46,24.1709,-18.9209
40,13.9033,-24.9766
216,100.988,89.8163
68,33.8058,4.56292
130,65.3132,50.2551
66,30.9504,-13.3209
70,29.4182,-1.62698
70,25.9588,-12.4369
82,36.8174,-23.0047
46,19.4956,-15.1715
250,152.352,-3.49699
198,107.191,-11.0047
52,23.5261,1.20614
30,10.9653,18.5486
164,84.301,-56.0988
56,17.8293,21.037
44,25.3756,-97.6043
204,101.498,28.7063
64,38.1391,18.4533
90,45.8936,-8.44934
90,38.8527,65.2668
212,151.347,-133.158
34,12.6732,11.1069
40,11.5818,8.38921
108,46.8148,20.6866
40,11.7433,-12.4286
54,20.9843,-4.40066
70,23.8375,-12.0495
92,34.3226,-15.0399
180,107.544,14.1944
48,18.9438,4.60297
56,25.5691,19.5119
160,83.324,11.3619
56,22.012,-52.6631
48,15.5896,23.2258
50,20.3937,49.5369
78,33.4399,15.0402
66,27.5375,-23.8212
84,36.43,-0.634086
128,66.0075,49.6688
68,32.6669,64.6836
130,60.8303,-72.0352
56,26.108,6.80718
58,30.207,-30.5665
44,15.0699,-4.29513
152,78.6766,-32.2329
96,40.3903,89.1473
136,76.2198,-56.9984
100,45.6173,-40.1327
72,28.5147,-41.2097
132,90.8831,79.3521
48,16.7819,-86.7139
32,13.363,-0.387777
154,71.3937,-123.033
74,28.058,18.9741
190,98.9912,182.592
70,30.8668,-59.789
72,41.2548,-29.0831
148,85.3966,67.5943
34,14.9715,-37.05
170,95.2304,20.9354
108,51.4433,-29.4412
62,24.3934,-32.3305
58,26.6659,-80.2307
68,36.8024,-25.9874
46,20.518,1.1301
82,36.0554,25.258
186,82.9716,5.09666
236,146.843,69.3328
52,20.1512,0.585037
94,39.8056,57.7336
52,24.7302,-8.17
66,56.3197,-42.8951
56,23.6267,69.7964
106,46.8167,-28.2049
174,91.6895,24.9297
96,43.7994,-50.0887
46,16.6749,30.9482
104,37.3219,56.4488
90,37.1123,-47.9095
166,59.2352,69.4573
20,7.55018,3.53466
18,6.42176,15.1374
124,64.5347,132.985
40,15.6918,-7.52598
46,18.6148,-54.6947
48,21.8677,62.2393
148,80.623,19.2771
202,96.3253,-12.7917
134,76.8887,-46.9976
136,70.4551,-34.9939
50,25.0468,2.57996
38,11.5468,-3.6041
32,9.44248,-15.6813
56,22.228,28.0479
86,41.408,-25.4473
102,43.1294,54.0237
94,38.302,122.856
300,183.481,-8.79645
74,31.5118,41.0178
56,22.5656,-12.8742
132,75.2494,35.5105
178,87.5469,71.7746
108,45.6551,-20.4184
154,94.0913,128.51
74,42.3144,-19.9957
48,15.4009,-50.6575
