mult,pT,eta
26,9.52917,21.8222
30,10.1076,3.4637
22,6.58479,-48.3963
18,6.8417,94.7288
32,11.201,148.87
2,0.605875,-0.122693
20,7.81356,-13.4674
34,12.7933,-1.60067
2,0.601084,-0.792784
44,17.1389,-11.2053
24,9.75522,70.3384
10,6.7618,-40.7895
36,11.8823,-47.5104
24,8.52155,15.1103
12,3.15067,-40.5207
30,15.8617,-54.5923
8,2.80206,-5.91485
26,7.87886,48.0939
24,9.68008,-68.8096
30,11.3248,-16.4268
64,33.2647,159.582
32,11.8102,32.5616
22,8.48464,-92.7481
10,6.15616,-5.19852
30,9.44079,-67.7555
14,7.20408,-33.6442
36,13.7742,122.51
22,10.2365,42.6821
14,5.93022,27.2627
6,0.780166,3.19561
4,1.32665,-16.9727
20,5.17966,-18.8895
26,9.33252,82.7901
24,10.6605,71.7877
32,12.1372,44.6461
46,21.354,-10.3415
32,15.5036,-113.041
12,4.74687,30.7033
8,2.53865,-6.36253
24,9.39202,-61.5136
6,2.15647,-1.16923
8,1.53938,-16.7373
26,9.90164,-88.7778
6,1.10062,1.32218
24,10.4596,-97.2589
24,7.65347,-59.9247
26,11.5291,-58.5339
18,5.57975,-64.6358
28,11.3565,-95.0656
28,12.2059,98.6776
24,6.38689,-50.8063
38,12.2027,-88.2169
14,4.29376,-25.3801
16,6.68844,71.1247
28,11.8208,47.3915
20,7.18284,35.2051
16,5.1975,-38.9782
40,17.8528,-135.977
30,13.083,-39.9902
42,14.161,92.3979
26,11.1808,-52.1436
36,11.1999,-30.1477
28,11.0985,-2.17402
4,1.55468,-16.7952
38,13.952,-50.899
28,13.0674,-44.5121
20,8.32282,0.688276
50,19.5292,103.606
78,30.2739,80.4599
28,9.80267,73.7453
4,0.861606,-13.1736
32,13.8186,-6.26103
16,5.52891,-47.1415
2,1.28015,-1.07969
14,4.5183,-52.7251
44,14.6932,81.6084
22,7.70355,32.2291
10,3.6032,41.725
2,0.461998,-3.15757
6,1.66914,24.2405
26,9.03707,61.4141
