mult,pT,eta
6,2.44039,-2.90522
4,1.03547,0.56263
4,0.663446,-8.07395
4,1.45703,14.9301
8,3.27133,12.7956
6,1.79375,-6.35685
20,7.79309,3.67495
14,4.99802,8.02991
52,25.788,72.4643
22,8.72602,73.5403
12,3.58977,-35.7519
4,1.52191,-5.85695
4,1.10421,-4.29563
16,7.00789,-44.9261
8,2.72416,31.7929
8,3.31212,6.57705
6,1.125,-24.9434
8,2.17248,-23.7897
6,2.16958,0.209775
8,2.47086,-22.2068
26,10.5696,-39.1294
6,1.77013,-9.30633
28,8.80052,-86.9659
20,8.5129,16.8522
20,6.21417,-17.8128
12,3.63471,13.1382
10,4.31997,-10.1338
16,5.02243,-7.26835
10,2.71119,4.74521
22,9.28015,-15.6673
26,8.79659,-22.1034
20,5.57365,53.7134
14,5.62712,2.34511
32,11.3301,1.56744
6,1.89973,-8.70153
26,9.14731,-40.0086
28,9.73473,65.2792
48,26.621,-54.0971
14,3.88308,17.9741
4,0.947085,-8.10733
2,0.665773,-1.11309
14,5.95384,11.8412
26,9.77854,22.0409
6,1.76209,-7.55572
4,1.00581,-7.88927
20,8.62491,11.5754
18,6.15565,-19.5057
4,1.67388,-2.17681
6,2.06779,26.2843
6,1.9312,21.1273
12,3.54634,-21.9321
18,7.37244,-26.4028
4,0.849449,0.094252
28,12.1605,7.05832
4,1.4268,7.07251
12,4.49638,-39.5709
26,9.02909,-6.52142
12,3.74962,-6.57451
4,1.30191,-2.9389
4,2.06155,-6.92249
4,1.67374,7.3994
8,3.73679,-33.6641
4,1.40429,-7.08308
20,7.81685,-2.26381
16,6.49899,51.6938
38,14.3858,13.6027
24,10.1603,-11.2881
44,14.6897,-65.3659
4,0.925697,-9.16638
14,4.70991,-19.7156
8,3.96258,-7.18278
14,6.72003,-49.7718
6,3.16278,-9.92592
14,4.18682,55.3063
10,2.35985,43.3359
16,4.41032,29.2072
8,2.43071,-5.83765
32,11.2372,-3.28275
4,1.75059,12.7331
4,2.31575,-0.267946
30,10.095,-4.77934
12,3.04842,-42.4263
22,9.00699,42.1006
20,8.38031,-71.6604
12,4.64411,35.3568
6,3.10267,20.2156
10,3.21669,34.2226
8,3.67145,2.81476
4,2.00918,8.99162
2,0.928469,-0.726455
4,2.35191,11.5789
14,5.08193,-35.9617
18,6.75897,17.8989
26,8.31631,-17.8936
6,2.71521,7.63744
18,7.43081,-34.4853
12,3.78712,48.4507
30,10.4577,-23.7693
26,9.13616,-2.42087
6,1.81084,16.9939
6,1.31196,-22.6753
18,5.86039,70.8565
8,4.13436,0.716416
36,11.8928,-22.5683
4,1.1264,-12.3341
8,3.15356,16.6042
4,1.59781,-11.839
4,1.16762,3.27748
6,1.68474,-2.84753
22,10.9053,73.7695
36,14.3682,-19.522
6,2.30361,13.3587
30,10.6049,61.9576
6,2.28804,-28.1317
8,2.71518,-21.8415
12,5.94533,10.9458
26,8.49176,59.0657
50,15.2842,48.1579
6,3.06964,9.48339
26,12.8097,-99.3535
4,1.17428,9.35895
10,2.99865,-7.68313
18,5.01783,56.1132
22,5.6843,32.4406
6,1.78093,3.73035
28,11.1556,-8.06431
24,8.53015,59.4438
4,1.39435,-12.6017
26,9.42142,-70.6659
10,3.25924,-33.722
18,5.69143,5.1705
22,7.95103,-42.9237
8,2.72101,-29.9315
4,0.918023,-12.1271
6,2.3023,17.2606
22,7.1497,29.442
8,2.23959,-20.8625
8,3.39919,-23.0429
6,2.4658,19.7141
4,1.05929,-4.96462
32,10.9025,19.8491
8,2.62506,38.3417
6,1.96792,-10.3002
36,13.5565,-85.8557
8,4.40903,2.46099
20,9.22589,34.5944
34,11.8759,-20.7504
8,2.94617,-0.783117
4,1.06433,1.84829
12,3.97622,-20.7616
16,7.19995,-59.6381
8,3.05769,-21.0499
18,5.36126,-14.5538
4,1.98568,1.52972
8,2.2783,2.4809
6,1.37483,-13.431
8,2.09765,31.1749
10,4.00828,-23.4832
18,5.57302,-66.1253
22,9.08683,-71.8291
2,0.28273,0.789208
4,1.81854,-11.3967
6,1.80824,-7.15546
4,1.90159,9.42328
4,0.887144,-10.934
4,0.816133,-11.6482
18,6.66744,-33.2971
6,2.60359,25.2556
4,1.54093,12.1193
8,2.17861,32.4738
14,3.96363,-5.31781
24,9.99366,87.0494
14,5.81617,-13.2285
4,0.603131,-6.35491
4,0.879374,5.15677
4,0.854449,10.3159
18,7.39088,8.61825
26,9.86039,58.847
12,2.90892,29.1653
2,0.470516,-0.899353
16,6.30915,-3.31399
42,14.7181,38.8942
30,10.6829,62.2085
2,0.693988,0.44851
6,1.82346,19.3138
16,5.85471,-54.0225
22,8.33558,28.7705
10,2.73529,0.244125
2,0.39673,-1.19619
18,6.78806,50.8526
12,3.57786,-17.6645
10,4.65766,-24.847
32,16.8781,-52.5528
36,11.7075,-42.3773
14,4.94823,-50.9867
34,14.43,-8.68616
20,5.98529,7.35506
14,3.621,53.7774
38,14.2077,-1.12721
4,1.55563,5.83096
14,5.31458,-43.6071
28,10.4838,-52.8668
38,13.7662,61.2874
6,2.39743,-9.57977
6,3.3388,-9.627
4,1.46788,5.9916
4,1.84505,-14.3416
6,2.32936,9.7336
4,1.38439,11.9347
20,9.02917,20.3088
4,1.73992,6.6365
4,1.89621,3.21788
6,1.69969,-16.348
26,10.6059,5.72907
22,8.12756,-18.1584
16,6.34053,-46.9813
4,0.9895,4.66722
20,6.59079,1.67118
24,8.81241,-24.0777
6,2.64372,14.4367
22,6.29242,56.5542
4,1.66314,9.90106
16,5.38203,10.6458
4,0.838575,10.6974
26,10.3914,-16.2878
8,3.03625,23.6367
6,1.66124,-0.389939
22,7.89333,-4.94125
4,1.59515,-7.83868
30,13.0594,29.226
12,3.49587,-23.545
12,4.3476,-24.9163
4,1.16866,3.45204
4,0.806856,-16.4512
4,2.0351,1.15698
6,2.21002,23.2784
26,8.12538,-24.1389
4,1.30324,-5.02582
4,0.718264,8.49011
10,4.08952,32.8758
16,5.7369,17.7381
28,9.25776,11.9685
6,1.90896,10.2849
22,8.43787,-56.8297
20,7.17095,-61.9739
12,3.15922,-11.4038
30,9.16419,94.5896
8,3.96064,10.238
16,5.87378,-64.081
8,2.54868,11.1117
12,5.51454,22.6306
22,7.46914,-75.4996
2,0.283739,3.43784
10,2.19637,-47.3855
4,1.38109,-16.2598
10,3.64769,-0.793509
14,4.8759,-33.2653
40,13.7423,-24.8629
16,5.2155,-6.88707
44,18.0838,-49.6246
2,0.39174,-0.0436368
36,15.6931,-48.6993
4,0.932821,7.70802
36,12.6339,19.3172
4,1.3479,1.1412
6,2.32059,-27.3882
4,0.875709,-4.92636
10,2.94061,-38.7733
4,1.23182,10.7464
10,5.80725,-36.1663
16,6.41595,-17.0347
26,10.2277,11.2625
34,12.671,73.252
28,9.48942,-9.95473
8,3.10234,29.9704
6,1.91712,-23.7901
12,4.77554,49.3912
32,10.7654,-6.51687
10,3.54681,-25.8817
6,1.46394,-26.7882
4,1.74092,-12.2108
4,1.62493,3.68907
22,5.66008,-81.0637
4,1.19538,3.99382
34,13.5082,-27.3363
10,3.51652,19.5772
20,7.74287,-1.5142
22,9.08096,-26.902
14,4.91725,8.67049
18,6.31531,33.2983
20,5.30491,19.5328
24,9.09338,-16.6096
6,1.35195,1.43476
10,3.45795,-42.4706
38,15.1366,65.9555
16,5.13195,21.9811
20,5.83467,8.50084
4,1.59035,-7.32021
16,6.52345,16.6732
34,14.5047,30.2748
6,2.27049,1.47619
22,7.83247,-3.11621
14,5.38535,15.199
4,2.87085,-3.20313
14,3.42067,49.5716
28,10.5003,-57.7477
6,1.63393,-3.11989
8,1.6678,26.456
26,7.35621,-0.632114
10,3.06744,18.4181
2,0.407822,-0.224234
12,4.62093,11.6307
2,0.696105,0.967305
18,5.71229,-72.2507
6,1.40829,19.6367
10,3.47487,17.3203
20,10.5997,17.4337
12,4.15784,-12.7128
2,0.423896,-0.250442
10,4.42658,15.9533
18,5.74815,-32.6485
12,4.60113,-26.5298
4,1.208,11.9089
4,1.19145,-2.48318
16,6.65493,-28.956
6,3.09213,16.3519
26,9.09093,12.5507
34,15.8808,23.1462
4,2.07853,-3.20689
18,6.4239,-30.5386
32,9.39288,-78.6123
6,1.027,12.7616
26,14.3225,-10.9171
10,2.25611,8.83829
10,3.64652,26.384
12,4.19779,-1.3025
10,3.54442,8.54267
10,2.50097,2.04397
8,3.22734,-18.9451
16,5.7329,-71.2331
6,1.36448,-6.20167
4,0.870014,6.13841
10,3.34556,-47.5171
4,1.58804,-12.2123
30,9.16572,-48.997
22,11.0487,38.9468
4,1.28792,-2.9497
26,10.1424,-17.6893
4,2.00587,-1.69363
12,5.83676,6.97267
30,12.3596,-28.9605
4,1.91923,9.73107
6,2.67533,-11.6488
16,5.93139,-38.6719
4,1.05091,-7.23812
28,9.10185,-57.4647
12,4.68364,-17.3426
22,6.50804,-37.8306
14,3.90292,-40.864
8,2.9058,-16.1683
30,10.3304,45.0281
26,8.4202,-15.2317
6,2.94057,5.38071
32,11.9787,33.4516
10,3.56539,13.0603
28,8.60493,30.4481
4,1.73974,11.4439
10,3.61357,31.58
8,3.18565,9.33849
30,11.1849,-56.7443
8,2.39289,1.98168
8,3.74657,9.94458
6,2.27806,4.08983
4,0.426258,5.95774
4,1.15258,-14.0974
14,5.31333,-14.6566
36,10.7294,28.0312
12,4.5523,27.2969
6,2.12523,-6.67865
14,4.41019,-19.7171
6,2.48048,-5.20694
4,1.06208,-3.8143
22,8.71475,64.2172
2,0.380317,0.179592
6,1.62798,1.07302
10,3.45591,-5.48835
26,8.90602,-30.644
12,3.46404,-46.3404
2,0.810195,0.0511727
6,2.86084,4.11164
6,1.87359,4.23241
10,3.66314,-44.7711
12,4.90452,14.3848
2,0.448939,0.411829
20,8.43092,-15.9017
6,1.03131,3.96368
44,19.1764,-23.2713
8,2.44696,-8.56834
4,0.70894,8.40217
14,5.48759,35.5902
4,1.08104,5.765
48,16.2992,-33.7826
18,7.43454,11.3771
42,16.8101,-44.6284
4,1.89925,-11.2304
4,0.997385,-13.4706
16,6.77326,-39.5689
16,4.54735,29.7712
22,9.24812,41.8683
20,6.71779,-14.2344
14,3.93177,35.779
6,1.48786,-15.4269
16,6.3573,5.44706
12,3.58925,18.1668
12,4.98459,25.7972
6,2.02886,-0.0502787
14,4.55292,38.4161
6,1.93444,-7.08253
34,12.0062,41.8323
12,3.23689,-15.3618
16,5.69098,32.2143
4,1.18196,5.55083
20,7.67387,38.5833
24,8.38351,9.8835
10,3.90957,-12.1023
6,1.94291,-21.9853
8,3.34656,9.36571
34,14.4017,-42.1534
8,2.50373,-10.5045
6,2.91074,22.728
14,4.82891,-35.4664
16,5.12103,27.6292
36,10.8631,21.3027
4,1.64909,-9.11561
10,3.10553,41.9733
28,8.23365,-63.1612
6,2.26084,-23.4475
34,12.7578,38.7532
26,9.81695,-45.6784
22,8.96706,9.81108
4,0.913838,-9.57247
10,3.66413,-5.62514
4,2.15723,-10.0918
10,1.82824,3.51959
62,23.7575,27.5909
44,20.0884,27.4012
14,7.42261,16.3013
10,2.91092,-14.2893
36,14.3008,1.93492
12,4.57548,-21.2656
4,1.16543,-3.25887
16,3.87995,-67.6576
6,1.95724,-15.1951
6,1.28316,20.844
12,3.15441,45.5248
6,2.43789,10.7118
24,10.6729,44.035
6,1.15859,14.4209
18,6.364,-29.4663
22,6.90497,75.6042
32,11.9174,-15.1601
6,2.27906,-0.255433
4,1.98024,-0.800089
16,4.88168,51.7691
10,3.47081,42.1735
6,1.44558,12.3358
4,1.3184,12.1002
28,16.4853,26.4557
4,1.08914,-8.71727
4,1.47611,1.57376
30,11.2999,30.5838
18,5.44046,40.1245
24,7.55704,55.8477
14,5.36986,24.215
30,10.1243,-37.4668
12,6.17288,-34.6922
4,0.839939,11.5157
8,2.48653,-6.61554
18,6.29663,47.6824
12,4.85368,46.5569
20,7.76488,-16.9851
22,8.27357,-2.74988
26,8.95461,18.9753
4,1.46744,4.18964
28,9.93076,24.2
4,1.78853,12.3216
16,6.67813,-35.8681
4,1.35754,-2.93006
