mult,pT,eta
56,20.2103,19.7966
28,11.2143,62.9327
30,10.8709,-68.162
36,17.5998,-25.7067
40,15.0892,51.9513
4,2.16164,-11.2978
44,17.6632,-67.4836
20,6.52353,-87.2386
4,1.71107,-15.286
42,12.8617,46.7529
108,56.697,-121.152
16,5.47592,80.8684
14,5.98149,41.582
4,1.43119,15.9099
6,1.51411,14.9434
4,1.00507,-15.3682
34,12.9699,-126.667
40,15.3952,42.4236
14,5.67289,23.7354
28,12.3911,-16.3861
8,2.51345,11.4163
26,11.0426,46.0348
2,0.587739,-0.723842
10,4.89441,-33.2175
4,0.572999,17.7329
16,7.105,48.0691
8,2.4548,38.3024
10,3.36834,-51.4261
44,19.9458,-135.404
24,7.24668,-58.5859
40,16.1368,-19.593
16,6.94713,-35.0419
22,8.04365,32.75
2,0.987589,2.81032
12,4.28473,60.0465
72,28.2615,28.9509
76,36.1925,-26.453
14,5.93769,58.3349
2,0.652937,-0.683805
28,12.6894,-87.5008
22,10.088,-68.4236
10,3.03592,-41.4301
8,2.50031,-40.5222
18,6.1084,-97.6795
16,5.48171,-1.00449
14,5.2203,61.2592
28,8.74572,78.6208
16,6.28655,73.5542
2,0.334534,0.335955
18,7.29534,-72.8434
22,10.6524,-61.1669
70,37.9167,-83.5172
26,14.1074,43.246
24,7.25654,-91.7297
22,7.04834,-48.5358
86,34.6733,188.415
82,36.7499,-86.6687
36,14.5855,68.0282
26,9.60352,-56.6785
10,5.9142,39.9363
14,4.63156,45.9018
16,5.22184,63.4542
20,9.2247,28.6345
32,11.2435,59.7142
26,9.30635,112.308
12,4.62387,-62.6126
26,9.19188,63.8387
24,11.093,81.1954
26,11.1159,52.7342
4,1.08652,-1.65987
34,16.1398,55.5445
4,0.893386,16.0228
12,5.58952,54.4283
14,5.8544,-68.6021
8,2.46107,37.5327
20,7.03051,99.9697
40,16.3748,-52.2992
72,31.8279,17.7833
22,6.80604,79.5879
44,23.4534,-130.192
16,5.23461,-69.6064
20,9.35427,101.535
18,4.846,20.2597
20,6.30472,0.767764
66,36.1912,-37.2886
28,10.5901,102.462
10,4.17083,41.755
44,16.0059,23.4304
24,11.4808,38.4715
4,0.612476,14.3629
26,11.4502,73.8713
22,8.5685,83.3352
2,0.705637,-0.0919498
36,11.9693,-40.231
28,9.00179,-53.4794
4,1.079,12.6557
26,9.91044,81.1888
54,20.5986,-60.4494
14,5.1565,-27.1528
10,3.22491,31.5881
78,43.1551,-19.674
6,1.14026,12.2772
24,11.4551,-74.0835
20,5.44327,-110.153
20,7.47791,95.155
22,7.49559,-74.4204
4,3.41238,-14.1555
12,4.29092,-58.8158
6,2.25434,-31.7134
4,0.731253,-17.3215
32,13.4597,-69.3231
26,9.25651,50.5131
42,12.0082,-98.0917
22,7.86415,-20.3829
24,11.1597,-66.0128
34,14.8895,50.9581
26,9.20322,51.5526
46,21.1438,84.5802
30,10.4137,-70.4279
74,31.1214,111.2
28,11.6816,103.661
24,8.91827,-50.862
8,1.268,-1.83557
2,0.712476,-2.22412
18,9.26394,-78.6642
14,3.66211,79.4279
10,4.72263,-48.1178
30,13.1204,-103.352
66,27.8861,37.0312
14,3.83496,-75.4288
32,14.2046,37.4989
16,8.55083,54.766
98,48.4757,-49.8084
14,5.04626,-73.0242
42,13.7511,144.343
40,19.7145,118.073
30,12.1233,51.7657
34,10.3575,-115.773
50,16.7341,10.5655
12,4.0887,-24.3423
10,3.87547,40.1684
24,9.87762,-46.8145
62,27.085,0.307016
22,6.40944,-76.332
42,16.077,27.5692
30,11.793,2.35794
6,2.07873,-6.33343
6,2.25591,-26.4044
42,18.7732,69.1218
8,3.13068,14.8038
14,6.78759,-3.28193
20,9.77568,76.9764
2,0.331934,0.708084
28,11.7962,12.917
8,2.78743,-38.1037
40,13.718,-85.3146
14,5.14161,68.4721
36,12.6329,83.3254
34,11.1618,-65.4926
44,17.5281,32.5929
26,10.7376,-51.8957
28,11.9073,80.2109
12,2.47311,58.3166
12,2.64935,48.5441
10,2.72447,2.76139
52,37.4176,29.7266
6,2.28293,-23.5237
36,13.7147,-24.54
26,12.5528,-64.2889
8,3.0444,-41.8767
6,1.88133,26.7662
4,1.1311,16.6411
6,2.39359,-21.1699
10,3.06416,-43.3464
82,37.3651,-235.622
18,6.15088,63.6632
38,13.6319,80.0072
30,11.6206,63.2128
10,4.01675,-47.0197
6,2.77632,21.9154
30,12.7192,100.233
12,4.39188,55.0926
88,32.3148,-135.844
90,43.474,-159.605
6,2.26091,2.20101
14,6.49012,10.4551
42,15.7645,119.9
44,17.1896,-96.354
16,8.56498,-62.0155
36,16.4602,17.3908
4,1.0001,-18.1931
10,3.23262,-37.7542
34,13.6578,-47.933
20,6.78486,-12.9702
34,12.6214,56.7633
40,14.9707,114.552
40,18.8108,-43.9571
12,4.70818,-20.8224
22,4.70831,64.292
6,1.81708,-11.4184
40,17.2475,55.4361
8,3.19561,-36.8504
4,1.71418,16.1468
16,6.04787,25.1169
2,0.417073,2.00493
4,1.30761,12.7364
26,8.35659,-14.25
34,12.534,-147.214
34,12.14,55.0284
12,4.29181,63.9358
20,6.28002,-98.6317
4,1.01914,8.94552
10,2.99534,55.3891
26,6.66238,67.8135
22,7.43518,76.2172
18,6.23736,64.9686
2,0.43113,-0.675336
38,11.8101,4.04068
4,1.58632,8.05033
32,13.967,-79.9698
4,2.12085,12.5104
10,3.30054,-45.7348
2,1.29708,3.65873
38,16.1331,-106.31
20,6.72062,-45.5069
38,15.2697,51.3625
32,14.1397,-158.553
4,1.10244,-10.1533
20,5.19376,-39.2436
28,10.7237,103.087
30,11.867,74.3219
4,1.60795,-2.86133
44,16.9943,-83.5461
18,5.44462,38.296
22,8.0909,-86.1186
20,7.81407,-92.2028
16,5.23443,-71.546
26,11.5377,49.5572
8,2.69434,20.8871
4,1.52148,-13.8631
30,13.0206,-60.0057
10,3.50455,48.1157
14,3.79102,42.2387
2,0.555428,-1.4597
14,4.26895,-73.9677
12,3.28351,-11.537
22,9.90846,12.4905
26,9.19768,-100.282
34,13.32,18.103
6,1.28725,-24.4005
24,10.1126,29.2701
28,13.2534,-17.139
36,14.0358,91.0098
70,32.0471,-13.1296
10,2.71223,-31.2417
14,4.86753,55.6813
24,9.1654,-79.8385
12,4.28205,-56.5185
8,3.42799,-8.10166
66,40.3746,149.778
16,7.02213,38.1224
28,9.99337,95.5212
36,16.1549,36.3578
24,10.0263,-91.6713
24,8.57562,-52.6948
10,4.64843,-24.9855
38,17.4158,109.493
68,22.2487,-87.3937
34,13.2688,-40.5818
4,0.562625,-19.3856
6,2.29504,-28.3383
74,36.3405,119.951
16,5.21076,-60.0057
20,7.18786,10.7004
46,20.8127,-38.3633
2,0.335453,-1.61287
18,6.90322,76.977
2,0.767834,0.116366
16,6.51279,-21.807
70,26.1344,-81.7809
54,22.121,-157.433
6,1.4843,28.8176
8,1.9914,10.4022
18,7.77035,54.0433
12,4.20117,4.5425
42,18.6048,-24.6165
14,6.13617,-29.684
32,10.5974,-16.7243
22,8.55956,60.2466
32,10.8481,-116.616
44,15.3045,63.2838
12,3.46585,58.997
36,12.124,-6.19563
28,10.6955,-20.7013
104,54.9782,-70.5518
20,7.81064,-6.40505
6,1.30997,-5.02893
40,16.2697,-41.919
2,1.16681,-2.62161
28,12.6625,55.1105
4,1.46978,13.0365
30,8.95649,65.9993
6,1.72579,-27.2282
22,10.018,-75.1035
16,5.56601,30.857
44,16.4666,35.1476
22,7.2187,98.2676
60,25.5019,-104.464
98,44.8419,88.9948
20,7.22081,106.652
18,8.46028,39.0625
28,9.18058,-70.1564
40,18.6387,74.483
12,4.16907,-7.13253
8,2.11305,44.1894
50,23.5444,-138.853
4,1.11946,-10.9013
38,17.2268,-87.8796
18,8.3066,-49.1955
12,5.01196,-60.8242
30,9.57847,102.167
4,1.13108,-16.3479
18,7.35823,51.0663
22,6.14576,74.7909
56,19.4888,163.298
84,38.6473,-112.114
48,19.1624,186.403
38,13.3021,-27.7867
28,12.3632,-66.108
18,6.99096,51.3217
36,12.6146,-20.3295
24,9.99116,-102.128
6,1.95226,30.3981
24,7.29245,79.6751
24,9.67472,83.7816
50,20.093,118.434
6,2.88794,0.987486
36,13.5093,54.3722
6,2.06211,-28.0959
36,13.284,148.528
60,25.7267,89.6117
34,11.0391,-59.4843
40,16.2673,27.9963
32,11.8263,86.9668
10,2.48415,43.5264
16,7.90206,51.82
12,4.41079,-42.1434
20,6.64476,55.9211
26,11.0469,-46.407
14,5.23103,48.0308
34,11.5804,20.4435
36,13.9119,-65.2232
34,15.4414,109.145
36,13.3294,100.565
28,13.2971,113.421
4,1.70201,14.608
6,1.15485,35.504
4,1.04209,-14.4599
2,0.739847,-4.83842
34,13.199,57.2366
22,7.53857,-95.859
32,14.5856,5.16528
20,8.49073,49.3451
26,8.6669,101.288
32,14.0745,96.3477
26,9.02249,-5.96003
30,10.0664,-19.1071
12,3.68941,49.4304
14,3.00996,-67.7461
28,13.0785,83.7656
10,3.10388,47.7126
28,11.8502,-35.4292
28,8.50862,-62.4969
4,1.20232,15.3332
28,12.845,101.837
30,10.0291,66.6354
2,0.344536,-3.21804
14,5.00244,-62.799
44,19.7266,121.598
58,27.3677,-89.9837
6,2.58348,23.6549
8,3.6915,9.78878
2,0.638737,2.58362
36,11.5103,-90.0624
64,24.8306,-74.4262
4,0.584457,17.2049
20,6.67982,-45.3769
32,13.6044,-6.48257
2,0.260997,5.14656
22,7.24944,-70.0699
46,25.9988,-97.2549
34,14.6389,114.921
18,6.25231,-41.4214
6,1.38755,-32.4383
74,30.5609,90.3127
10,4.30381,50.8946
12,3.32509,-0.673583
102,55.2046,86.7965
14,5.51775,73.7239
44,13.9382,-132.798
22,8.37673,-77.7413
10,2.78228,-55.043
44,13.1005,69.2221
28,9.97263,48.5616
48,16.4991,133.66
28,7.74343,70.7801
4,0.697652,12.2347
26,10.065,-67.0042
34,13.6487,61.7204
14,6.89865,-9.73547
20,6.30014,103.284
6,1.7794,-24.0738
12,4.50484,-46.6912
18,7.09611,-79.3207
6,2.43943,-22.4585
42,17.7549,132.95
52,18.3743,77.4432
58,19.7419,26.8891
2,0.541764,-0.546696
22,7.08384,58.8438
32,14.6096,-95.1114
20,11.6268,75.9319
34,18.8364,-67.2635
40,11.9569,33.8094
2,0.436916,-0.943834
4,1.1934,-7.25253
4,1.68107,-13.1635
102,46.2315,102.958
56,23.2101,-40.1208
10,2.97679,53.3055
14,4.69186,-10.9258
6,1.86886,-28.9495
28,8.45917,102.401
4,1.38349,-14.0124
28,11.3178,-92.5542
14,6.88655,49.2224
28,14.6595,-91.3887
4,0.880866,-17.3923
36,15.9324,49.7208
14,5.8024,50.2803
40,17.7272,-66.3869
2,1.10831,-3.21251
28,8.9007,15.7509
